Specie	probability
Unknown	0.52149
output.marine.1.fa	7.8387e-05
output.marine.10.fa	0.00125393
output.marine.100.fa	0.00213363
output.marine.101.fa	0.00483519
output.marine.102.fa	0.00661219
output.marine.103.fa	0.000752295
output.marine.104.fa	0.00203473
output.marine.105.fa	0.000176558
output.marine.106.fa	0.00763732
output.marine.107.fa	9.73039e-05
output.marine.108.fa	0.000724447
output.marine.109.fa	0.00476077
output.marine.11.fa	0.00366354
output.marine.110.fa	0.00143037
output.marine.111.fa	0.000252484
output.marine.112.fa	0.00142243
output.marine.113.fa	0.00323602
output.marine.114.fa	0.00228963
output.marine.115.fa	0.00067004
output.marine.116.fa	0.000209727
output.marine.117.fa	0.00827337
output.marine.118.fa	0.00292024
output.marine.119.fa	0.000310805
output.marine.12.fa	0.00101636
output.marine.120.fa	0.00633784
output.marine.121.fa	0.00404924
output.marine.122.fa	8.53724e-05
output.marine.123.fa	0.00024939
output.marine.124.fa	0.000379535
output.marine.125.fa	8.09889e-05
output.marine.126.fa	0.00089048
output.marine.127.fa	0.000512821
output.marine.128.fa	0.00125084
output.marine.129.fa	0.00441302
output.marine.13.fa	0.00330775
output.marine.130.fa	0.00072018
output.marine.131.fa	0.00212048
output.marine.132.fa	0.0145603
output.marine.133.fa	0.000128762
output.marine.134.fa	0.000829674
output.marine.135.fa	0.00279814
output.marine.136.fa	0.000118307
output.marine.137.fa	0.00789228
output.marine.138.fa	0.00296846
output.marine.139.fa	0.00127564
output.marine.14.fa	0.00190534
output.marine.140.fa	0.0106894
output.marine.141.fa	0.00034953
output.marine.142.fa	0.00127304
output.marine.143.fa	0.00307671
output.marine.144.fa	0.00325707
output.marine.145.fa	0.000194209
output.marine.146.fa	0.000359422
output.marine.147.fa	0.000152531
output.marine.148.fa	0.000177824
output.marine.149.fa	0.000771587
output.marine.15.fa	0.0051899
output.marine.150.fa	0.000240576
output.marine.151.fa	0.00787768
output.marine.152.fa	0.00514937
output.marine.153.fa	0.000210454
output.marine.154.fa	0.00247149
output.marine.155.fa	0.000831151
output.marine.156.fa	0.00505673
output.marine.157.fa	0.00170616
output.marine.158.fa	0.00254889
output.marine.159.fa	0.000217182
output.marine.16.fa	0.000997277
output.marine.160.fa	0.00204852
output.marine.161.fa	0.000162447
output.marine.162.fa	0.0107077
output.marine.163.fa	0.000427378
output.marine.164.fa	0.0004669
output.marine.165.fa	0.000616852
output.marine.166.fa	0.000891957
output.marine.167.fa	9.18422e-05
output.marine.168.fa	5.31878e-05
output.marine.169.fa	0.00161551
output.marine.17.fa	0.00228581
output.marine.18.fa	0.000966781
output.marine.19.fa	0.000133872
output.marine.2.fa	0.000689637
output.marine.20.fa	0.00126073
output.marine.21.fa	0.00383944
output.marine.22.fa	0.00147916
output.marine.23.fa	0.0026672
output.marine.24.fa	0.00868068
output.marine.25.fa	0.00187805
output.marine.26.fa	0.000743622
output.marine.27.fa	8.13171e-05
output.marine.28.fa	0.00322195
output.marine.29.fa	0.00116434
output.marine.3.fa	0.00871385
output.marine.30.fa	0.00214744
output.marine.31.fa	4.06e-05
output.marine.32.fa	0.00117923
output.marine.33.fa	0.00179763
output.marine.34.fa	0.000168166
output.marine.35.fa	0.000593763
output.marine.36.fa	0.00403784
output.marine.37.fa	0.00118921
output.marine.38.fa	0.00132749
output.marine.39.fa	0.00167224
output.marine.4.fa	0.00784212
output.marine.40.fa	6.01967e-05
output.marine.41.fa	0.0225615
output.marine.42.fa	0.00370972
output.marine.43.fa	0.00861891
output.marine.44.fa	0.000172597
output.marine.45.fa	6.05483e-05
output.marine.46.fa	0.00238558
output.marine.47.fa	0.000655178
output.marine.48.fa	9.25688e-05
output.marine.49.fa	0.00121767
output.marine.5.fa	0.0345818
output.marine.50.fa	0.00602248
output.marine.51.fa	0.000191725
output.marine.52.fa	0.00981764
output.marine.53.fa	0.00250006
output.marine.54.fa	0.00395807
output.marine.55.fa	0.00202946
output.marine.56.fa	0.00507544
output.marine.57.fa	0.00464499
output.marine.58.fa	0.00086725
output.marine.59.fa	0.000459609
output.marine.6.fa	0.000580964
output.marine.60.fa	0.000905904
output.marine.61.fa	0.00147149
output.marine.62.fa	0.00633191
output.marine.63.fa	0.000208766
output.marine.64.fa	8.10593e-05
output.marine.65.fa	0.00229727
output.marine.66.fa	0.00418789
output.marine.67.fa	0.00208839
output.marine.68.fa	0.000485348
output.marine.69.fa	0.0130686
output.marine.7.fa	0.00462708
output.marine.70.fa	0.000175761
output.marine.71.fa	0.000511602
output.marine.72.fa	0.0031367
output.marine.73.fa	0.000893316
output.marine.74.fa	0.00379731
output.marine.75.fa	0.0140903
output.marine.76.fa	0.00240801
output.marine.77.fa	0.000243717
output.marine.78.fa	0.00313989
output.marine.79.fa	0.000286169
output.marine.8.fa	0.000554686
output.marine.80.fa	0.0020611
output.marine.81.fa	0.00318464
output.marine.82.fa	0.00161729
output.marine.83.fa	0.0068369
output.marine.84.fa	0.00115768
output.marine.85.fa	0.00164439
output.marine.86.fa	0.00501236
output.marine.87.fa	0.00475432
output.marine.88.fa	0.000122714
output.marine.89.fa	0.00194983
output.marine.9.fa	0.00566147
output.marine.90.fa	0.00100276
output.marine.91.fa	0.000343342
output.marine.92.fa	0.00146472
output.marine.93.fa	0.0035991
output.marine.94.fa	0.00130628
output.marine.95.fa	0.00149796
output.marine.96.fa	0.0067943
output.marine.97.fa	0.00160597
output.marine.98.fa	0.00367338
output.marine.99.fa	0.00461503
