Specie	probability
Unknown	0.758852
output.soil3.1.fa	0.000616203
output.soil3.10.fa	0.00375098
output.soil3.11.fa	0.000144562
output.soil3.12.fa	0.000741867
output.soil3.13.fa	0.00174535
output.soil3.14.fa	0.000101126
output.soil3.15.fa	0.00211657
output.soil3.16.fa	0.0068644
output.soil3.17.fa	0.0108193
output.soil3.18.fa	0.0010191
output.soil3.19.fa	0.000134321
output.soil3.2.fa	0.00275996
output.soil3.20.fa	0.000272742
output.soil3.21.fa	0.00516008
output.soil3.22.fa	0.00726151
output.soil3.23.fa	0.00149744
output.soil3.24.fa	0.000536807
output.soil3.25.fa	0.00126159
output.soil3.26.fa	7.9328e-05
output.soil3.27.fa	0.00178775
output.soil3.28.fa	0.00106176
output.soil3.29.fa	0.000150136
output.soil3.3.fa	0.00123141
output.soil3.30.fa	8.06195e-05
output.soil3.31.fa	0.000159676
output.soil3.32.fa	0.00237857
output.soil3.33.fa	0.0042233
output.soil3.34.fa	0.000632562
output.soil3.35.fa	0.0285404
output.soil3.36.fa	8.09594e-05
output.soil3.37.fa	0.000275076
output.soil3.38.fa	0.00788764
output.soil3.39.fa	0.00150759
output.soil3.4.fa	0.00142652
output.soil3.40.fa	0.000312894
output.soil3.41.fa	0.000450069
output.soil3.42.fa	0.00171311
output.soil3.43.fa	0.000370288
output.soil3.44.fa	0.00815003
output.soil3.45.fa	0.000271451
output.soil3.46.fa	0.0016941
output.soil3.47.fa	0.00168821
output.soil3.48.fa	0.00739201
output.soil3.49.fa	0.00100045
output.soil3.5.fa	0.000200439
output.soil3.50.fa	0.00306628
output.soil3.51.fa	0.0318796
output.soil3.52.fa	0.00363438
output.soil3.53.fa	0.0050322
output.soil3.54.fa	0.00198748
output.soil3.55.fa	0.00130083
output.soil3.56.fa	0.000630749
output.soil3.57.fa	5.52192e-05
output.soil3.58.fa	0.00756294
output.soil3.59.fa	0.000139872
output.soil3.6.fa	0.000266194
output.soil3.60.fa	0.000736883
output.soil3.61.fa	0.0015792
output.soil3.62.fa	0.00547554
output.soil3.63.fa	0.00381073
output.soil3.64.fa	0.00109929
output.soil3.65.fa	0.0107114
output.soil3.66.fa	0.00500569
output.soil3.67.fa	0.000851717
output.soil3.68.fa	9.41921e-05
output.soil3.69.fa	0.00492919
output.soil3.7.fa	0.00107599
output.soil3.70.fa	0.000784103
output.soil3.71.fa	0.00263312
output.soil3.72.fa	0.000103663
output.soil3.73.fa	0.000648083
output.soil3.74.fa	0.0133748
output.soil3.75.fa	0.000973009
output.soil3.76.fa	0.00324522
output.soil3.77.fa	0.00108551
output.soil3.78.fa	0.00144805
output.soil3.79.fa	0.00160025
output.soil3.8.fa	5.90258e-05
output.soil3.80.fa	0.00135913
output.soil3.9.fa	0.00135816
